tis,data
1502218260,2.233
1502218499,2.233
1502218738,2.233
1502218978,2.233
1502219216,2.233
1502219456,2.233
1502219694,2.233
1502219934,2.233
1502220173,2.233
1502220411,2.233
1502220651,2.233
1502220890,2.233
1502221129,2.233
1502221368,2.233
1502221607,2.233
1502221846,2.233
1502222086,2.233
1502222324,2.233
1502222563,2.233
1502222802,2.233
1502223041,2.233
1502223281,2.233
1502223519,2.233
1502223759,2.233
1502223998,2.233
1502224237,2.233
1502224476,2.233
1502224714,2.233
1502224954,2.233
1502225193,2.233
1502225432,2.233
1502225671,2.233
1502225911,2.233
1502226149,2.233
1502226389,2.233
1502226627,2.222
1502226866,2.233
1502227106,2.233
1502227344,2.233
1502227584,2.233
1502227823,2.233
1502228062,2.233
1502228301,2.222
1502228539,2.233
1502228779,2.233
1502229018,2.233
1502229257,2.233
1502229496,2.233
1502229735,2.233
1502229974,2.233
1502230213,2.233
1502230452,2.233
1502230691,2.233
1502230931,2.233
1502231169,2.233
1502231409,2.233
1502231647,2.233
1502231887,2.233
1502232126,2.233
1502232364,2.233
1502232604,2.233
1502232843,2.233
1502233082,2.233
1502233321,2.233
1502233560,2.244
1502233799,2.233
1502234039,2.233
1502234277,2.233
1502234516,2.233
1502234756,2.233
1502234994,2.233
1502235234,2.233
1502235472,2.222
1502235712,2.233
1502235951,2.222
1502236190,2.233
1502236429,2.233
1502236668,2.233
1502236907,2.233
1502237146,2.233
1502237385,2.233
1502237624,2.233
1502237864,2.233
1502238102,2.233
1502238342,2.233
1502238580,2.233
1502238820,2.233
1502239059,2.233
1502239297,2.233
1502239537,2.233
1502239775,2.233
1502240015,2.233
1502240254,2.233
1502240493,2.233
1502240732,2.233
1502240971,2.233
1502241210,2.233
1502241450,2.233
1502241688,2.233
1502241927,2.233
1502242167,2.233
1502242405,2.233
1502242645,2.233
1502242883,2.233
1502243123,2.233
1502243362,2.233
1502243601,2.233
1502243840,2.233
1502244079,2.233
1502244318,2.233
1502244557,2.233
1502244796,2.233
1502245035,2.233
1502245275,2.233
1502245513,2.233
1502245752,2.233
1502245992,2.233
1502246230,2.233
1502246470,2.233
1502246708,2.244
1502246948,2.233
1502247187,2.233
1502247426,2.233
1502247665,2.233
1502247903,2.233
1502248143,2.233
1502248382,2.233
1502248621,2.233
1502248860,2.233
1502249100,2.233
1502249338,2.233
1502249578,2.233
1502249816,2.244
1502250056,2.233
1502250295,2.233
1502250533,2.233
1502250773,2.233
1502251011,2.244
1502251251,2.233
1502251490,2.233
1502251729,2.244
1502251968,2.244
1502252208,2.233
1502252446,2.233
1502252685,2.244
1502252924,2.233
1502253163,2.233
1502253403,2.244
1502253641,2.233
1502253881,2.233
1502254120,2.233
1502254359,2.233
1502254598,2.244
1502254836,2.233
1502255076,2.233
1502255315,2.233
1502255554,2.233
1502255793,2.233
1502256033,2.233
1502256271,2.233
1502256510,2.233
1502256749,2.233
1502256988,2.233
1502257227,2.233
1502257466,2.233
1502257706,2.244
1502257944,2.233
1502258184,2.233
1502258423,2.222
1502258662,2.233
1502258901,2.233
1502259139,2.233
1502259379,2.233
1502259618,2.233
1502259857,2.233
1502260096,2.233
1502260336,2.233
1502260574,2.233
1502260814,2.233
1502261053,2.233
1502261291,2.244
1502261531,2.244
1502261769,2.233
1502262009,2.244
1502262248,2.233
1502262487,2.244
1502262726,2.233
1502262964,2.233
1502263204,2.233
1502263443,2.233
1502263682,2.233
1502263921,2.233
1502264161,2.233
1502264399,2.233
1502264639,2.233
1502264877,2.233
1502265116,2.244
1502265356,2.233
1502265594,2.233
1502265834,2.233
1502266073,2.244
1502266312,2.244
1502266551,2.233
1502266790,2.233
1502267029,2.233
1502267268,2.244
1502267507,2.233
1502267746,2.244
1502267985,2.233
1502268224,2.244
1502268464,2.233
1502268702,2.233
1502268942,2.233
1502269181,2.233
1502269420,2.233
1502269659,2.233
1502269897,2.233
